image_filename,flower_type,dominant_color_label,oil_concentration
dandelion/34578947551_863af3acb3_n.jpg,dandelion,other,0.5563
dandelion/2625836599_03e192266f.jpg,dandelion,other,0.0317
dandelion/16242239484_51286673af.jpg,dandelion,other,0.6006
dandelion/5716633491_55e6f02645_n.jpg,dandelion,other,0.089
dandelion/34697163155_5dc2571f23_n.jpg,dandelion,other,0.7845
dandelion/34686041416_e50c8028f9_n.jpg,dandelion,other,0.7792
dandelion/8719032054_9a3ce4f0ff.jpg,dandelion,green,0.3607
dandelion/9472854850_fc9e1db673.jpg,dandelion,other,0.4371
dandelion/31530587330_ba31bd196e_n.jpg,dandelion,other,0.3063
dandelion/9293460423_7fbb1e3c32_n.jpg,dandelion,other,0.4979
dandelion/9939430464_5f5861ebab.jpg,dandelion,other,0.0776
dandelion/2535769822_513be6bbe9.jpg,dandelion,other,0.2038
dandelion/8720503800_cab5c62a34.jpg,dandelion,other,0.2292
dandelion/5674707921_1ffd141bab_n.jpg,dandelion,other,0.7933
dandelion/16159487_3a6615a565_n.jpg,dandelion,other,0.1769
dandelion/8689302980_9bd2f7b9fe_n.jpg,dandelion,blue,0.8535
dandelion/16837594326_1056d875a4_m.jpg,dandelion,other,0.0182
dandelion/284497199_93a01f48f6.jpg,dandelion,other,0.2475
dandelion/14164392167_650946a169_n.jpg,dandelion,other,0.9362
dandelion/34592557281_5f254b3a46_n.jpg,dandelion,other,0.2197
dandelion/20179380768_7a2990d4e3_n.jpg,dandelion,other,0.4302
dandelion/34583574661_8010a1fdf4_n.jpg,dandelion,other,0.3188
dandelion/139124974_9e3ba69f6c.jpg,dandelion,other,0.9663
dandelion/5643666851_dc3f42399d_m.jpg,dandelion,other,0.5808
dandelion/142390525_5d81a3659d_m.jpg,dandelion,other,0.8819
dandelion/3483575184_cb8d16a083_n.jpg,dandelion,other,0.8786
dandelion/7099259755_1c66420206_n.jpg,dandelion,other,0.0453
dandelion/1443259657_2704fab26e_n.jpg,dandelion,other,0.4367
dandelion/3505026222_c760df0035_n.jpg,dandelion,other,0.4516
dandelion/7188112181_571434b058_n.jpg,dandelion,other,0.1796
dandelion/2995221296_a6ddaccc39.jpg,dandelion,other,0.4349
dandelion/3584414925_1e6c4b61db_n.jpg,dandelion,other,0.4135
dandelion/8757650550_113d7af3bd.jpg,dandelion,other,0.1299
dandelion/151385302_f8980a257f_n.jpg,dandelion,green,0.6165
dandelion/4528742654_99d233223b_m.jpg,dandelion,other,0.8405
dandelion/19440660848_c789227129_m.jpg,dandelion,other,0.5896
dandelion/144686365_d7e96941ee_n.jpg,dandelion,other,0.5912
dandelion/5605502523_05acb00ae7_n.jpg,dandelion,other,0.8944
dandelion/3297108443_0393d04dfc_m.jpg,dandelion,other,0.5334
dandelion/8168031302_6e36f39d87.jpg,dandelion,other,0.8491
dandelion/751941983_58e1ae3957_m.jpg,dandelion,other,0.1154
dandelion/3459346147_faffff51c7_n.jpg,dandelion,other,0.0395
dandelion/8737699225_19e0c9f0fa_m.jpg,dandelion,other,0.9955
dandelion/10683189_bd6e371b97.jpg,dandelion,other,0.9718
dandelion/34719957845_c929f480a3_n.jpg,dandelion,other,0.9206
dandelion/2443192475_c64c66d9c2.jpg,dandelion,other,0.2746
dandelion/3419176626_512811d3ff.jpg,dandelion,other,0.7653
dandelion/7425858848_d04dab08dd_n.jpg,dandelion,other,0.9117
dandelion/3844111216_742ea491a0.jpg,dandelion,other,0.4175
dandelion/2477986396_19da36d557_m.jpg,dandelion,other,0.6021
dandelion/3383422012_6c9d83671f_n.jpg,dandelion,other,0.9306
dandelion/5110102140_787d325757_n.jpg,dandelion,other,0.213
dandelion/8979087213_28f572174c.jpg,dandelion,green,0.4047
dandelion/3476980444_c276bea402_m.jpg,dandelion,other,0.238
dandelion/8935477500_89f22cca03_n.jpg,dandelion,other,0.4043
dandelion/16510864164_3afa8ac37f.jpg,dandelion,other,0.5403
dandelion/2401343175_d2a892cf25_n.jpg,dandelion,other,0.1878
dandelion/4624036600_11a4744254_n.jpg,dandelion,green,0.1672
dandelion/5740633858_8fd54c23c9_n.jpg,dandelion,other,0.3751
dandelion/8684925862_d736e153bf_n.jpg,dandelion,other,0.0683
dandelion/8966818334_483f4489be_n.jpg,dandelion,green,0.0659
dandelion/4562516418_8ccb8c103f.jpg,dandelion,other,0.1108
dandelion/7153497513_076486e26b_n.jpg,dandelion,blue,0.6284
dandelion/34351602790_37234e2dae_n.jpg,dandelion,blue,0.0076
dandelion/3612582808_4503fa1f8b_m.jpg,dandelion,other,0.053
dandelion/4514343281_26781484df.jpg,dandelion,other,0.6526
dandelion/33626882480_8b2345a63c_n.jpg,dandelion,green,0.0624
dandelion/34335240590_41e4a393db_n.jpg,dandelion,other,0.6953
dandelion/2470874500_43d8011e75.jpg,dandelion,other,0.5229
dandelion/4290112545_3528055993_m.jpg,dandelion,other,0.34
dandelion/6994933428_307b092ce7_m.jpg,dandelion,other,0.4106
dandelion/34549305152_15f407a771_n.jpg,dandelion,other,0.2147
dandelion/18243329421_771b4d938e.jpg,dandelion,other,0.4413
dandelion/8724252904_db9a5104df_m.jpg,dandelion,other,0.0513
dandelion/8223968_6b51555d2f_n.jpg,dandelion,other,0.8209
dandelion/34653465656_31bc613631_n.jpg,dandelion,green,0.2737
dandelion/34695057206_98de825612_n.jpg,dandelion,green,0.4953
dandelion/5607669502_ccd2a76668_n.jpg,dandelion,other,0.6087
dandelion/2495749544_679dc7ccef.jpg,dandelion,other,0.6234
dandelion/645330051_06b192b7e1.jpg,dandelion,other,0.2945
dandelion/19551343814_48f764535f_m.jpg,dandelion,other,0.3196
dandelion/3664916269_29f07c7c7b.jpg,dandelion,blue,0.8412
dandelion/7232035352_84a39e99ba_n.jpg,dandelion,other,0.4073
dandelion/33071081032_a6a1e4b311_n.jpg,dandelion,green,0.3355
dandelion/16970837587_4a9d8500d7.jpg,dandelion,other,0.0033
dandelion/8980460785_b5e6842e59_n.jpg,dandelion,other,0.2702
dandelion/4571923094_b9cefa9438_n.jpg,dandelion,green,0.5955
dandelion/34692530906_fe2470a5e5_n.jpg,dandelion,other,0.8094
dandelion/4598938531_9749b3b56a.jpg,dandelion,blue,0.2508
dandelion/15987457_49dc11bf4b.jpg,dandelion,green,0.5866
dandelion/1353279846_7e6b87606d.jpg,dandelion,other,0.5786
dandelion/177851662_b2622b4238_n.jpg,dandelion,other,0.8146
dandelion/7262863194_682209e9fb.jpg,dandelion,other,0.7281
dandelion/163702807_e508544acd_n.jpg,dandelion,other,0.5106
dandelion/4893356345_24d67eff9f_m.jpg,dandelion,green,0.3809
dandelion/13942846777_5571a6b0a1_n.jpg,dandelion,other,0.0936
dandelion/477207005_6327db8393_m.jpg,dandelion,blue,0.2521
dandelion/17574213074_f5416afd84.jpg,dandelion,other,0.9862
dandelion/4632863567_5f9af7de97_n.jpg,dandelion,other,0.4344
dandelion/2620243133_e801981efe_n.jpg,dandelion,other,0.9791
dandelion/2489438981_4eb60ef98f_m.jpg,dandelion,green,0.9464
dandelion/3580437733_9ef51f2981_n.jpg,dandelion,other,0.9361
dandelion/148180650_19a4b410db.jpg,dandelion,blue,0.5726
dandelion/4632757134_40156d7d5b.jpg,dandelion,other,0.8463
dandelion/14058811536_f29cd7bd58_n.jpg,dandelion,other,0.8664
dandelion/5797606814_ccac615312_m.jpg,dandelion,other,0.9106
dandelion/13920113_f03e867ea7_m.jpg,dandelion,other,0.7267
dandelion/8956863946_f96be02aae_n.jpg,dandelion,other,0.778
dandelion/14914603395_b271ffab56_n.jpg,dandelion,other,0.1937
dandelion/5416388641_c66d52d2ff_m.jpg,dandelion,other,0.7357
dandelion/7367491658_9eb4dc2384_m.jpg,dandelion,other,0.8403
dandelion/15219268336_f2460fca88_m.jpg,dandelion,other,0.2889
dandelion/7280222348_a87725ca77.jpg,dandelion,green,0.8926
dandelion/5605093210_5fecb71c61.jpg,dandelion,other,0.0859
dandelion/6250363717_17732e992e_n.jpg,dandelion,blue,0.811
dandelion/9111669902_9471c3a49c_n.jpg,dandelion,green,0.3341
dandelion/3458770076_17ed3a1225.jpg,dandelion,other,0.1758
dandelion/141935731_d26d600f4f_m.jpg,dandelion,other,0.8737
dandelion/33886917763_2db539f182_n.jpg,dandelion,other,0.4054
dandelion/18232119726_cef27eaaac_n.jpg,dandelion,green,0.6014
dandelion/14053184940_7ced69250f_n.jpg,dandelion,other,0.2437
